алгоритм,размер,тип_данных,время_мс
пузырьковая_сортировка,100,random,0.3165
сортировка_выбором,100,random,0.2169
сортировка_вставками,100,random,0.1939
сортировка_слиянием,100,random,0.247
быстрая_сортировка,100,random,0.1229
пузырьковая_сортировка,500,random,8.1034
сортировка_выбором,500,random,4.9663
сортировка_вставками,500,random,3.6768
сортировка_слиянием,500,random,0.6281
быстрая_сортировка,500,random,0.6065
пузырьковая_сортировка,1000,random,37.4442
сортировка_выбором,1000,random,16.7643
сортировка_вставками,1000,random,16.6406
сортировка_слиянием,1000,random,1.4528
быстрая_сортировка,1000,random,1.1925
пузырьковая_сортировка,5000,random,955.0371
сортировка_выбором,5000,random,410.0771
сортировка_вставками,5000,random,428.3039
сортировка_слиянием,5000,random,8.5241
быстрая_сортировка,5000,random,7.1136
пузырьковая_сортировка,100,sorted,0.0054
сортировка_выбором,100,sorted,0.1507
сортировка_вставками,100,sorted,0.0075
сортировка_слиянием,100,sorted,0.0848
быстрая_сортировка,100,sorted,0.0621
пузырьковая_сортировка,500,sorted,0.0233
сортировка_выбором,500,sorted,4.0799
сортировка_вставками,500,sorted,0.0387
сортировка_слиянием,500,sorted,0.4715
быстрая_сортировка,500,sorted,0.3599
пузырьковая_сортировка,1000,sorted,0.0736
сортировка_выбором,1000,sorted,16.5652
сортировка_вставками,1000,sorted,0.0801
сортировка_слиянием,1000,sorted,0.9488
быстрая_сортировка,1000,sorted,0.7521
пузырьковая_сортировка,5000,sorted,0.2487
сортировка_выбором,5000,sorted,404.2086
сортировка_вставками,5000,sorted,0.4053
сортировка_слиянием,5000,sorted,5.4034
быстрая_сортировка,5000,sorted,4.724
пузырьковая_сортировка,100,reversed,0.395
сортировка_выбором,100,reversed,0.1624
сортировка_вставками,100,reversed,0.2934
сортировка_слиянием,100,reversed,0.0911
быстрая_сортировка,100,reversed,0.0647
пузырьковая_сортировка,500,reversed,10.3482
сортировка_выбором,500,reversed,4.6554
сортировка_вставками,500,reversed,7.7902
сортировка_слиянием,500,reversed,0.4746
быстрая_сортировка,500,reversed,0.3511
пузырьковая_сортировка,1000,reversed,48.7609
сортировка_выбором,1000,reversed,17.3353
сортировка_вставками,1000,reversed,30.4882
сортировка_слиянием,1000,reversed,0.9862
быстрая_сортировка,1000,reversed,0.7641
пузырьковая_сортировка,5000,reversed,1208.5616
сортировка_выбором,5000,reversed,421.7294
сортировка_вставками,5000,reversed,800.0536
сортировка_слиянием,5000,reversed,5.6233
быстрая_сортировка,5000,reversed,4.6975
пузырьковая_сортировка,100,almost_sorted,0.1674
сортировка_выбором,100,almost_sorted,0.1523
сортировка_вставками,100,almost_sorted,0.0212
сортировка_слиянием,100,almost_sorted,0.0962
быстрая_сортировка,100,almost_sorted,0.1079
пузырьковая_сортировка,500,almost_sorted,5.1431
сортировка_выбором,500,almost_sorted,4.2402
сортировка_вставками,500,almost_sorted,0.6165
сортировка_слиянием,500,almost_sorted,0.5737
быстрая_сортировка,500,almost_sorted,0.4249
пузырьковая_сортировка,1000,almost_sorted,21.7114
сортировка_выбором,1000,almost_sorted,16.0115
сортировка_вставками,1000,almost_sorted,2.191
сортировка_слиянием,1000,almost_sorted,1.1888
быстрая_сортировка,1000,almost_sorted,0.8917
пузырьковая_сортировка,5000,almost_sorted,585.1491
сортировка_выбором,5000,almost_sorted,402.5158
сортировка_вставками,5000,almost_sorted,51.7694
сортировка_слиянием,5000,almost_sorted,7.296
быстрая_сортировка,5000,almost_sorted,5.1437
